Date,Open,High,Low,Close,Adj Close,Volume
2016-09-15,185.033005,185.123001,184.968002,185.123001,182.799606,23
2016-09-16,184.677002,184.677002,184.677002,184.677002,182.359207,0
2016-09-19,188.199997,191.380005,188.199997,189.589996,187.210541,354
2016-09-20,194.578995,194.942001,189.656998,189.656998,187.276703,125
2016-09-21,190.587997,190.587997,187.953995,187.953995,185.595062,119
2016-09-22,188.634995,190.134003,188.634995,189.912994,187.529480,115
2016-09-23,190.746994,190.746994,190.649994,190.649994,188.257233,3
2016-09-26,189.078003,190.500000,186.000000,188.500000,186.134216,508
2016-09-27,187.996002,188.222000,187.199997,188.222000,185.859711,32
2016-09-28,187.300995,188.845993,187.300995,188.845993,186.475876,10
2016-09-29,188.824997,188.824997,184.000000,184.000000,181.690689,8
2016-09-30,184.638000,184.638000,184.638000,184.638000,182.320694,0
2016-10-04,187.382004,187.382004,187.382004,187.382004,185.030258,5
2016-10-05,186.623993,186.623993,185.000000,185.000000,182.678146,50
2016-10-06,185.057999,185.261993,184.016006,184.354996,182.041229,110
2016-10-07,184.378998,184.378998,182.500000,182.509995,180.219406,70
2016-10-10,182.117004,183.098007,182.117004,183.098007,180.800034,53
2016-10-11,182.591003,182.591003,181.500000,181.500000,179.222076,15
2016-10-12,182.960999,182.960999,180.970993,180.970993,178.699707,50
2016-10-13,181.007004,181.007004,179.815002,180.121994,177.861374,125
2016-10-14,180.563995,180.563995,180.100006,180.100006,177.839661,3
2016-10-17,182.337997,182.337997,181.371002,181.371002,179.094711,11
2016-10-18,181.126007,183.199997,181.126007,183.199997,180.900742,85
2016-10-19,182.815002,182.815002,181.300003,181.300003,179.024597,100
2016-10-20,181.998001,181.998001,181.998001,181.998001,179.713821,0
2016-10-21,180.880997,181.761002,180.880997,181.761002,179.479797,14
2016-10-24,183.699997,186.317001,183.699997,183.699997,181.394470,127
2016-10-25,185.018005,186.942993,185.018005,186.942993,184.596756,20
2016-10-26,186.367004,186.367004,186.367004,186.367004,184.028000,0
2016-10-27,186.287994,186.750000,186.287994,186.750000,184.406189,20
2016-10-28,187.257004,187.257004,187.257004,187.257004,184.906830,0
2016-10-31,185.212997,185.212997,184.580002,184.580002,182.263428,26
2016-11-01,185.384003,185.384003,181.600006,181.600006,179.320816,65
2016-11-02,181.570007,181.570007,177.876999,178.050003,175.815369,334
2016-11-03,178.031998,178.031998,176.977997,176.977997,174.756836,70
2016-11-04,176.522003,176.522003,175.985992,175.985992,173.777267,100
2016-11-07,180.417007,186.673004,180.417007,186.436005,184.096130,320
2016-11-08,187.050003,187.050003,186.078995,186.436005,184.096130,100
2016-11-09,176.292007,187.850006,176.292007,187.850006,185.492386,397
